time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/value_loss,train/entropy_loss,train/learning_rate,train/loss,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/n_updates,train/approx_kl,eval/mean_ep_length,eval/mean_reward
1,0,2048,2973,911.0,736.11279296875,,,,,,,,,,,,
2,2,4096,1719,820.75,740.7833251953125,597.0931961536407,-1.3859023343771697,0.00025,182.3917694091797,0.00078231096,-0.0010142970233573579,0.2,0.0,10,0.0010795885,,
3,4,6144,1521,786.8333333333334,590.416015625,417.60223627090454,-1.3845884580165149,0.00025,130.01393127441406,0.27132732,-0.00036986221093684437,0.2,0.0,20,0.00017835849,,
4,5,8192,1432,1011.625,473.5184020996094,26.636588409543037,-1.382878689840436,0.00025,7.876571178436279,0.050747573,-0.00581829539150931,0.2,0.017236328125,30,0.0067847343,,
5,7,10240,1387,966.9,449.77069091796875,103.08380459547043,-1.3810470603406428,0.00025,16.20018768310547,0.38471925,-0.0005685803364031017,0.2,0.0,40,0.00059182954,,
6,9,12288,1355,995.4166666666666,387.0504455566406,183.71465826034546,-1.3845471732318402,0.00025,67.88687896728516,0.58476394,-0.0005860254415892996,0.2,0.0,50,0.00021715497,,
7,10,14336,1334,995.4166666666666,387.0504455566406,43.97722817212343,-1.3840910397469997,0.00025,11.180987358093262,0.70604026,-0.0006739518204994966,0.2,0.0,60,0.0004788402,,
8,12,16384,1318,1149.6153846153845,368.75091552734375,10.4885867677629,-1.3805654369294644,0.00025,2.9216487407684326,0.21914428,-0.0042890937063930325,0.2,0.016943359375,70,0.0044932063,,
9,14,18432,1305,1281.7857142857142,470.5999450683594,180.45449999570846,-1.3805354580283165,0.00025,70.51716613769531,0.5932712,-0.0010173003087402322,0.2,0.0,80,0.0006271965,,
10,15,20480,1294,1281.7857142857142,470.5999450683594,187.36076254844664,-1.381768485531211,0.00025,77.14031982421875,0.8172079,-0.0006008981217746623,0.2,0.0,90,0.00044888165,,
11,17,22528,1285,1371.1875,517.05126953125,173.0149557352066,-1.3833282150328159,0.00025,87.70381927490234,0.49296606,-0.0015495155719690956,0.2,0.0,100,0.001977989,,
12,19,24576,1280,1371.1875,517.05126953125,146.3595395207405,-1.3788176454603671,0.00025,91.33134460449219,0.45664114,-0.0020086695076315664,0.2,0.0,110,0.0012301471,,
,,25000,,,,26.97436733841896,-1.375831028074026,0.00025,7.8192620277404785,0.52419746,-0.004854010116105201,0.2,0.026513671875,120,0.010347503,3000.0,387.1910705566406
13,27,26624,970,1391.578947368421,511.7283020019531,,,,,,,,,,,,
14,29,28672,985,1391.578947368421,511.7283020019531,248.8980491876602,-1.369665576890111,0.00025,84.7948989868164,0.7416925,-0.0007340101947193034,0.2,0.0,130,0.0004489218,,
15,30,30720,999,1472.0,521.6844482421875,81.9073444724083,-1.379493658617139,0.00025,32.365318298339844,-0.61868656,-0.0015650992922019214,0.2,0.0,140,0.0014747352,,
16,32,32768,1013,1477.8636363636363,540.871337890625,151.0668370962143,-1.3794540118426084,0.00025,32.298439025878906,0.72596246,-0.002606436173664406,0.2,0.0,150,0.0028010923,,
17,33,34816,1024,1477.8636363636363,540.871337890625,282.569283747673,-1.3778501063585282,0.00025,74.27023315429688,0.7304505,-0.0007940192226669751,0.2,0.0,160,0.00079837674,,
18,35,36864,1036,1456.52,595.7040405273438,319.2720767498016,-1.3772845357656478,0.00025,67.51309967041016,0.22801512,-0.0016722152096917853,0.2,0.0,170,0.0015548845,,
19,37,38912,1047,1456.52,595.7040405273438,516.3780088424683,-1.3760095357894897,0.00025,489.3389892578125,0.54490983,-0.000768741661158856,0.2,0.0,180,0.0006225619,,
20,38,40960,1057,1515.8846153846155,578.0668334960938,18.139586898684502,-1.3751726690679789,0.00025,2.985583782196045,0.27317327,-0.004228417830017861,0.2,0.02158203125,190,0.009743194,,
21,40,43008,1065,1570.851851851852,586.3359375,222.64124788045882,-1.3708154652267694,0.00025,58.13129425048828,0.6085913,-0.0015124505225685425,0.2,0.0,200,0.00135384,,
22,42,45056,1072,1570.851851851852,586.3359375,60.02495702803135,-1.3755215264856815,0.00025,22.24036979675293,0.8633125,-0.003614699899480911,0.2,0.000244140625,210,0.0035151024,,
23,43,47104,1079,1621.892857142857,593.056640625,51.96926810145378,-1.356649189069867,0.00025,9.55721664428711,0.7294259,-0.004810449312572018,0.2,0.0443359375,220,0.008811135,,
24,45,49152,1085,1669.4137931034484,651.8751220703125,397.8174040079117,-1.361136231571436,0.00025,180.36557006835938,0.7447994,-0.0010299941903213039,0.2,0.0,230,0.00076406443,,
,,50000,,,,65.47646726071835,-1.3601331982761622,0.00025,30.233699798583984,0.75411963,-0.007641734836215619,0.2,0.089794921875,240,0.013952788,1544.0,86.05294036865234
25,50,51200,1020,1609.774193548387,635.8064575195312,,,,,,,,,,,,
26,51,53248,1028,1653.21875,640.548583984375,280.5218125104904,-1.3675698224455117,0.00025,101.18923950195312,0.72867703,-0.003381385236571077,0.2,0.00478515625,250,0.0051911166,,
27,53,55296,1034,1653.21875,640.548583984375,157.12940829992294,-1.3717647466808558,0.00025,87.31297302246094,0.6220056,-0.001876559557422297,0.2,0.0,260,0.0036038195,,
28,55,57344,1040,1641.8235294117646,680.6652221679688,404.4479051589966,-1.3649216171354055,0.00025,146.02090454101562,0.7532984,-0.0030780157845583743,0.2,0.005029296875,270,0.004640674,,
29,56,59392,1046,1680.6285714285714,682.97021484375,188.77837572097778,-1.36401161365211,0.00025,77.38434600830078,0.89728034,-0.006114335339225363,0.2,0.032373046875,280,0.00742113,,
30,58,61440,1052,1680.6285714285714,682.97021484375,27.023888114094735,-1.3606335114687682,0.00025,6.48798131942749,0.833593,-0.009953706996748224,0.2,0.10751953125,290,0.013779582,,
31,59,63488,1058,1542.2439024390244,589.0640258789062,36.987456274032596,-1.3641225047409535,0.00025,9.319622039794922,0.6929503,-0.015593098435056163,0.2,0.164404296875,300,0.011457729,,
32,61,65536,1063,1331.3673469387754,513.7298583984375,433.74100065231323,-1.3472694989293814,0.00025,210.839599609375,0.12500685,-0.00417892979021417,0.2,0.004931640625,310,0.008202018,,
33,63,67584,1068,1185.3333333333333,453.5033264160156,620.7576685905457,-1.3199182521551847,0.00025,189.8623046875,0.67884207,-0.0020965216579497794,0.2,0.0,320,0.002602345,,
34,64,69632,1072,1156.8474576271187,439.9356994628906,444.44094200134276,-1.3472372055053712,0.00025,133.26747131347656,0.6537539,-0.004085207582102157,0.2,0.02275390625,330,0.007958621,,
35,66,71680,1076,1187.5666666666666,456.0985412597656,291.32429735660554,-1.3721807274967432,0.00025,189.66220092773438,0.6356401,-0.008602644810162019,0.2,0.051123046875,340,0.013822755,,
36,68,73728,1080,1201.27868852459,480.3158264160156,237.5996949672699,-1.3648670453578233,0.00025,74.06585693359375,0.76667863,-0.0052722460874065295,0.2,0.034423828125,350,0.0070590377,,
,,75000,,,,387.3091119527817,-1.3657270330935716,0.00025,148.962890625,0.49093848,-0.005316422613395844,0.2,0.032958984375,360,0.0071509597,1830.2,460.3531799316406
37,73,75776,1026,1196.095238095238,516.5039672851562,,,,,,,,,,,,
38,75,77824,1031,1196.095238095238,516.5039672851562,553.0782454967499,-1.3597672805190086,0.00025,178.06092834472656,0.7312547,-0.0025213148328475654,0.2,0.000537109375,370,0.0031471958,,
39,77,79872,1035,1224.28125,510.11822509765625,78.88548943400383,-1.3510460834950209,0.00025,22.333574295043945,-0.29662442,-0.004636491690325784,0.2,0.023046875,380,0.011274602,,
40,78,81920,1040,1251.6,506.22625732421875,61.60190171599388,-1.3588031619787215,0.00025,11.017024993896484,0.41391975,-0.0026200595137197526,0.2,0.001513671875,390,0.0008995315,,
41,80,83968,1044,1251.6,506.22625732421875,44.928628605604175,-1.349299968034029,0.00025,8.874107360839844,0.24119323,-0.004478774056224211,0.2,0.003662109375,400,0.0033882274,,
42,82,86016,1047,1258.3382352941176,510.95025634765625,34.11293260753155,-1.3193908669054508,0.00025,5.80283784866333,-0.2325089,-0.007358238070446532,0.2,0.09892578125,410,0.008560218,,
43,83,88064,1051,1257.7571428571428,538.2587890625,338.8756278991699,-1.3466364480555058,0.00025,68.7975082397461,0.64889896,-0.0008353760254976806,0.2,0.0,420,0.00209684,,
44,85,90112,1054,1234.5972222222222,525.0382080078125,381.626033949852,-1.3582505255937576,0.00025,105.10228729248047,0.6211338,-0.00097262912458973,0.2,0.0,430,0.0004851224,,
45,87,92160,1057,1240.6712328767123,529.2027587890625,156.97531920671463,-1.3456535391509532,0.00025,51.66937255859375,0.50586224,-0.0036883450964523947,0.2,0.006396484375,440,0.0074654547,,
46,88,94208,1060,1257.2432432432433,568.283447265625,486.57924098968505,-1.356035890057683,0.00025,292.099609375,0.81063426,-0.0005917694928939454,0.2,0.0,450,0.0002916869,,
47,90,96256,1063,1280.48,565.3572998046875,198.6401277422905,-1.3599842987954616,0.00025,85.6124267578125,0.7966279,-0.003526368014718173,0.2,0.001025390625,460,0.003908853,,
48,92,98304,1066,1271.671052631579,561.70947265625,39.01405067741871,-1.3552492488175631,0.00025,10.854696273803711,0.8902924,-0.009475723208015551,0.2,0.09755859375,470,0.01415341,,
,,100000,,,,630.6476684570313,-1.3641559910029173,0.00025,135.55247497558594,0.8100938,-0.0005674731059116311,0.2,0.0,480,0.000408027,2471.2,263.86614990234375
49,99,100352,1013,1294.1168831168832,589.1448364257812,,,,,,,,,,,,
50,100,102400,1017,1277.0625,622.201904296875,247.4904574394226,-1.3693294178694486,0.00025,66.19286346435547,0.6875095,-0.006801770404126728,0.2,0.0302734375,490,0.008285852,,
51,102,104448,1021,1268.0740740740741,623.6828002929688,830.2504004001618,-1.3639298025518656,0.00025,158.74313354492188,0.6719767,-0.0017207161887199617,0.2,0.0,500,0.0023264256,,
52,103,106496,1025,1289.1951219512196,621.552490234375,259.39839055538175,-1.3700433105230332,0.00025,38.34797286987305,0.13564545,-0.010521981368947308,0.2,0.078955078125,510,0.009676261,,
53,105,108544,1028,1291.9397590361446,615.90966796875,159.21874128580095,-1.3789820905774832,0.00025,31.749160766601562,0.7056869,-0.0024757292325375603,0.2,0.0,520,0.0034630117,,
54,107,110592,1032,1292.2,622.8348999023438,273.38012223243715,-1.3754883587360383,0.00025,42.20938491821289,0.843688,-0.002496492554200813,0.2,0.002783203125,530,0.0042958525,,
55,108,112640,1035,1291.0581395348838,618.6578369140625,508.5936011314392,-1.3755926437675954,0.00025,99.31025695800781,0.7216112,-0.0008089092814770992,0.2,0.0,540,0.00082137523,,
56,110,114688,1038,1310.7011494252874,617.769287109375,219.03131638765336,-1.3781069118529559,0.00025,51.79948043823242,0.71753395,-0.0008517830734490417,0.2,0.0,550,0.0010878907,,
57,112,116736,1041,1254.4301075268818,590.490234375,60.7874906629324,-1.3811847928911447,0.00025,10.610270500183105,0.76643336,-0.0031708812923170624,0.2,0.004052734375,560,0.0032025098,,
58,113,118784,1045,1254.4301075268818,590.490234375,496.76551871299745,-1.338593263551593,0.00025,204.60446166992188,0.67601943,-0.0019277344719739631,0.2,0.005078125,570,0.004734199,,
59,115,120832,1048,1268.957894736842,582.33349609375,74.94565442800521,-1.3685560308396816,0.00025,14.755071640014648,0.794487,-0.008318384054291528,0.2,0.0775390625,580,0.007830072,,
60,116,122880,1051,1253.8144329896907,586.3958740234375,148.12255889177322,-1.3662836857140064,0.00025,25.672649383544922,0.7477499,-0.004457051317149308,0.2,0.023681640625,590,0.006418277,,
61,118,124928,1054,1271.6326530612246,600.7483520507812,269.9984835386276,-1.360917702689767,0.00025,58.4422492980957,0.75426584,-0.0020633558866393286,0.2,0.0,600,0.0019290834,,
,,125000,,,,356.9532557487488,-1.3694793857634067,0.00025,127.81440734863281,0.62382436,-0.0023817970090021846,0.2,0.0,610,0.0026618373,2712.8,84.58531188964844
62,125,126976,1010,1266.86,608.1544799804688,,,,,,,,,,,,
63,127,129024,1013,1268.19,622.1162109375,435.58744192123413,-1.363850950077176,0.00025,176.84356689453125,0.7202869,-0.0027891353813174645,0.2,0.0001953125,620,0.0036338544,,
64,128,131072,1016,1268.19,622.1162109375,746.8736672878265,-1.360236094519496,0.00025,113.19514465332031,0.6601434,-0.0009977890877053142,0.2,0.0,630,0.00063910964,,
65,130,133120,1019,1291.86,639.1140747070312,395.4264795780182,-1.367952473461628,0.00025,74.68213653564453,0.68211025,-0.00257207237300463,0.2,0.004150390625,640,0.0032967723,,
66,132,135168,1022,1312.52,641.075927734375,527.9301947593689,-1.3645047638565302,0.00025,182.6260986328125,0.68279517,-0.0034118801551812792,0.2,0.009716796875,650,0.0058701737,,
67,133,137216,1025,1312.52,641.075927734375,201.31605435609816,-1.3585657682269812,0.00025,54.210227966308594,0.7224388,-0.007052660010231193,0.2,0.057421875,660,0.0058976226,,
68,135,139264,1028,1330.7,643.746826171875,19.405315965414047,-1.3526936914771794,0.00025,4.074089050292969,-0.32162166,-0.014968969421897783,0.2,0.126513671875,670,0.012181851,,
69,137,141312,1030,1335.43,643.988525390625,194.21469761133193,-1.3649735730141401,0.00025,43.33454513549805,0.49247527,-0.004525166664097924,0.2,0.051416015625,680,0.007838921,,
70,138,143360,1033,1347.85,646.3847045898438,216.5395711451769,-1.3698468390852212,0.00025,61.29196548461914,-0.5441469,-0.003336143575143069,0.2,0.025244140625,690,0.007175533,,
71,140,145408,1035,1333.66,644.6781005859375,392.60698046684263,-1.3619027316570282,0.00025,127.4727783203125,0.55584687,-0.0013794908154523,0.2,0.0,700,0.0008054137,,
72,142,147456,1037,1353.52,649.4358520507812,338.07181681394576,-1.3598828621208667,0.00025,110.58912658691406,0.7346449,-0.00548017545734183,0.2,0.039208984375,710,0.0073291636,,
73,143,149504,1040,1343.13,663.1197509765625,200.94933862686156,-1.3651148051023483,0.00025,107.49296569824219,0.7420416,-0.003529408019676339,0.2,0.0,720,0.0050351527,,
,,150000,,,,429.71374955177305,-1.3580571033060551,0.00025,120.78307342529297,0.78369385,-0.0022966845899645705,0.2,0.004248046875,730,0.0044996124,2706.8,31.00570297241211
74,151,151552,1002,1297.71,641.592041015625,,,,,,,,,,,,
75,152,153600,1005,1297.71,641.592041015625,349.87518491744993,-1.3651144668459891,0.00025,252.64752197265625,0.76608264,-0.0014883354095218237,0.2,0.0,740,0.001098288,,
76,154,155648,1008,1317.77,649.7962646484375,135.24817905426025,-1.3580695688724518,0.00025,52.04634094238281,0.8799813,-0.006187706417404115,0.2,0.038818359375,750,0.0089933295,,
77,155,157696,1011,1321.38,672.0270385742188,349.68205320835114,-1.3534691769629716,0.00025,164.6591796875,0.8422997,-0.0013887419612728991,0.2,0.0,760,0.0022700012,,
78,157,159744,1013,1335.59,680.559326171875,304.68848369121554,-1.3620485275983811,0.00025,80.75128936767578,0.74709255,-0.001292903236026177,0.2,0.0,770,0.0017512089,,
79,159,161792,1016,1346.9,686.7330322265625,425.5608476638794,-1.360484044626355,0.00025,234.19268798828125,0.77409136,-0.011270057181536685,0.2,0.077197265625,780,0.008649427,,
80,160,163840,1018,1327.4,686.5570068359375,519.9781560897827,-1.3709724947810173,0.00025,191.9417266845703,0.61331904,-0.003626579731644597,0.2,0.003125,790,0.0054102307,,
81,162,165888,1021,1331.03,698.615966796875,309.85239284038545,-1.354565717279911,0.00025,33.89168167114258,0.5777514,-0.0025195353675371733,0.2,0.003515625,800,0.005683344,,
82,164,167936,1023,1337.11,702.340087890625,263.5456741333008,-1.3559508480131626,0.00025,56.587039947509766,0.79768074,-0.0009252747739083133,0.2,0.0,810,0.0003323419,,
83,165,169984,1026,1342.49,713.1624755859375,530.8392943382263,-1.3583888839930296,0.00025,168.00543212890625,0.8311291,-0.002461157616926357,0.2,0.0,820,0.0018216635,,
84,167,172032,1028,1352.74,712.7694702148438,256.905215215683,-1.362285678461194,0.00025,109.2761459350586,0.8644495,-0.0033788466505939143,0.2,0.00390625,830,0.0060904277,,
85,168,174080,1030,1312.55,738.6751708984375,407.18602910041807,-1.3691193509846926,0.00025,94.66735076904297,0.6141063,-0.0016424549699877388,0.2,0.00029296875,840,0.0025418536,,
,,175000,,,,878.0734798431397,-1.3667818617075682,0.00025,393.55377197265625,0.7860966,-0.0026954334069159815,0.2,0.0,850,0.0034044771,2786.8,438.511474609375
86,176,176128,998,1306.91,738.1004638671875,,,,,,,,,,,,
87,178,178176,1000,1306.91,738.1004638671875,271.79799124002454,-1.3737515885382892,0.00025,50.41952896118164,0.691739,-0.0069044872667291205,0.2,0.032568359375,860,0.012260599,,
88,179,180224,1003,1297.65,728.4993896484375,176.3863266915083,-1.352004861459136,0.00025,50.462677001953125,-1.3805926,-0.003765325984568335,0.2,0.03115234375,870,0.008529311,,
89,181,182272,1005,1318.27,725.7263793945312,594.359178686142,-1.3605534508824348,0.00025,146.6649627685547,0.81433976,-0.002691491197037976,0.2,4.8828125e-05,880,0.0022831908,,
90,182,184320,1007,1286.16,731.585205078125,237.28810740709304,-1.3676037222146988,0.00025,57.142425537109375,0.44088525,-0.002181469387141988,0.2,0.001025390625,890,0.003720382,,
91,184,186368,1009,1286.16,731.585205078125,757.2794567108155,-1.3482407540082932,0.00025,188.95669555664062,0.6502663,-0.0018420928543491754,0.2,9.765625e-05,900,0.0024718125,,
92,186,188416,1012,1284.99,728.126953125,142.31513680815698,-1.3501757103949785,0.00025,33.71257781982422,0.5530244,-0.0021552302554482595,0.2,0.000244140625,910,0.0041525885,,
93,187,190464,1014,1284.99,733.8504638671875,260.09676294326783,-1.3609695475548507,0.00025,81.17227935791016,0.8509208,-0.005012465236359276,0.2,0.023486328125,920,0.00395429,,
94,189,192512,1016,1284.99,733.8504638671875,40.96521097123623,-1.3708433158695699,0.00025,8.492690086364746,0.888621,-0.005255888489045901,0.2,0.03134765625,930,0.00872579,,
95,191,194560,1017,1313.27,735.7957763671875,24.308256120979784,-1.346365936845541,0.00025,4.481029987335205,-1.6207166,-0.011950710677047028,0.2,0.106396484375,940,0.008910944,,
96,192,196608,1019,1323.39,758.0242919921875,243.67589823007583,-1.3623876255005598,0.00025,42.101566314697266,0.78781116,-0.0011851734634547029,0.2,0.0,950,0.001148894,,
97,194,198656,1021,1351.23,764.899658203125,315.389306306839,-1.3635243043303489,0.00025,69.66349792480469,0.40020233,-0.0018975955834321212,0.2,0.004052734375,960,0.0047341343,,
,,200000,,,,149.48211708068848,-1.3644086536020041,0.00025,30.618183135986328,0.061644793,-0.0019321550986205692,0.2,0.0005859375,970,0.0023787848,2180.1,152.22853088378906
98,201,200704,998,1351.23,764.899658203125,,,,,,,,,,,,
99,202,202752,1000,1380.05,773.1105346679688,269.4103053331375,-1.3483759500086308,0.00025,87.03247833251953,0.65913904,-0.013636385279824026,0.2,0.119873046875,980,0.009887369,,
100,204,204800,1001,1396.56,787.2432861328125,212.31599122285843,-1.3597042854875325,0.00025,63.93698501586914,0.7568965,-0.007196071262296755,0.2,0.047314453125,990,0.008431093,,
101,206,206848,1003,1425.24,795.5181884765625,212.63488793373108,-1.355804266780615,0.00025,47.30814743041992,0.84976023,-0.004513991928979522,0.2,0.027197265625,1000,0.0075586494,,
102,207,208896,1005,1425.24,795.5181884765625,222.08620973825455,-1.3660160332918168,0.00025,48.04103088378906,0.5939145,-0.004061764891230268,0.2,0.004150390625,1010,0.006290909,,
103,209,210944,1007,1464.36,805.624755859375,32.15326609313488,-1.3585907183587551,0.00025,7.4305243492126465,0.4483472,-0.017146723814948927,0.2,0.16240234375,1020,0.008308346,,
104,211,212992,1009,1473.83,814.4057006835938,273.9533921599388,-1.363194514811039,0.00025,90.30792236328125,0.6491835,-0.0011757295971619897,0.2,0.0,1030,0.0019500972,,
105,212,215040,1010,1487.37,817.26416015625,318.9237362384796,-1.3573044348508119,0.00025,96.6180191040039,0.7612344,-0.00084733175317524,0.2,0.0,1040,0.0011087838,,
106,214,217088,1012,1513.0,830.49169921875,496.59706606864927,-1.3482136320322753,0.00025,107.23489379882812,0.27721477,-0.004534598941972945,0.2,0.019873046875,1050,0.005474055,,
107,216,219136,1014,1516.07,831.385986328125,109.34256808757782,-1.363773012533784,0.00025,12.4022216796875,0.8232676,-0.00518384419629001,0.2,0.035986328125,1060,0.0063940194,,
108,217,221184,1015,1544.33,831.433837890625,91.92558825016022,-1.3574491627514362,0.00025,14.868112564086914,0.637506,-0.01171954253950389,0.2,0.122265625,1070,0.014133732,,
109,219,223232,1017,1558.78,860.55078125,165.18746864795685,-1.3611115634441375,0.00025,36.374080657958984,0.5229703,-0.005416336706548464,0.2,0.04453125,1080,0.012600478,,
,,225000,,,,296.1708347082138,-1.3610445223748684,0.00025,48.0988883972168,0.5973095,-0.003396506492572371,0.2,0.00908203125,1090,0.005367432,2465.0,37.8912239074707
110,226,225280,993,1558.78,860.55078125,,,,,,,,,,,,
111,228,227328,994,1590.72,864.942626953125,15.552237052470446,-1.363348875939846,0.00025,3.0521156787872314,-4.688854,-0.0030749480123631657,0.2,0.016455078125,1100,0.006556575,,
112,230,229376,996,1613.93,870.9595947265625,262.97641644477847,-1.3647295746952295,0.00025,96.749267578125,0.7595414,-0.0021841678375494667,0.2,0.0,1110,0.0024139695,,
113,231,231424,998,1613.93,870.9595947265625,14.383679237961768,-1.3707110498100519,0.00025,3.3329901695251465,-0.41665888,-0.009272182974382304,0.2,0.05693359375,1120,0.012869666,,
114,233,233472,999,1620.83,867.1033325195312,11.49402181059122,-1.35038337148726,0.00025,1.8776335716247559,-1.1184134,-0.008204662376374471,0.2,0.086328125,1130,0.011718795,,
115,235,235520,1000,1595.47,839.685791015625,224.82393676042557,-1.3634823750704528,0.00025,62.81217575073242,0.6437799,-0.0003832287111436017,0.2,0.0,1140,0.0003690569,,
116,236,237568,1002,1559.9,859.2642211914062,520.0632513523102,-1.3540189694613218,0.00025,124.68903350830078,0.6380282,-0.0013859685510396957,0.2,0.0,1150,0.0011590393,,
117,238,239616,1003,1537.14,864.5778198242188,400.75709149837496,-1.3567779220640659,0.00025,107.12956237792969,0.35358393,-0.0017213383041962515,0.2,0.0,1160,0.0018246993,,
118,240,241664,1003,1551.87,866.8638916015625,300.66050651073454,-1.3629999533295631,0.00025,66.20797729492188,0.6881814,-0.002014376936131157,0.2,0.0021484375,1170,0.005581224,,
119,242,243712,1003,1551.87,866.8638916015625,175.2432619214058,-1.3580468125641345,0.00025,30.313247680664062,0.78662324,-0.004645722246641526,0.2,0.00048828125,1180,0.005791746,,
120,244,245760,1003,1562.24,852.8566284179688,27.620992627739906,-1.3725390870124101,0.00025,10.120235443115234,-1.2747483,-0.003520617031608708,0.2,0.057275390625,1190,0.011291857,,
121,246,247808,1004,1581.56,867.7723388671875,486.90132501125333,-1.3455007117241622,0.00025,143.59124755859375,0.5771476,-0.002217990669305436,0.2,0.0001953125,1200,0.002282139,,
122,248,249856,1004,1589.52,881.6743774414062,248.96284699440002,-1.3520636435598135,0.00025,69.2878189086914,0.7306764,-0.0033257948205573486,0.2,0.0,1210,0.0043759756,,
